date,index_level,divisor,notes
2024-09-11,1000.0,1000.0,
2024-09-12,995.7934774084479,1000.0,
2024-09-13,1008.3782467547015,1000.0,
2024-09-14,1052.000160989089,1000.0,
2024-09-15,1041.2871535800102,1000.0,
2024-09-16,1027.6037071157173,1000.0,
2024-09-17,1010.186030126243,1000.0,
2024-09-18,1046.7316159187692,1000.0,
2024-09-19,1066.2265650983502,1000.0,
2024-09-20,1092.7105465903062,1000.0,
2024-09-21,1095.5165782381248,1000.0,
2024-09-22,1100.2919675886135,1000.0,
2024-09-23,1103.4017259684852,1000.0,
2024-09-24,1098.9665547341153,1000.0,
2024-09-25,1116.4438797500559,1000.0,
2024-09-26,1095.92743112574,1000.0,
2024-09-27,1130.268394794045,1000.0,
2024-09-28,1141.7259720455334,1000.0,
2024-09-29,1144.2093915794114,1000.0,
2024-09-30,1139.5166165450973,1000.0,
2024-10-01,1097.5131501679364,1000.0,
2024-10-02,1056.374039288882,1000.0,
2024-10-03,1052.6063705707963,1000.0,
2024-10-04,1053.8611247830368,1000.0,
2024-10-05,1077.7251859438645,1000.0,
2024-10-06,1077.5329421472404,1000.0,
2024-10-07,1090.0253953238262,1000.0,
2024-10-08,1080.9248790338474,1000.0,
2024-10-09,1079.1520171263144,1000.0,
2024-10-10,1051.5927447933786,1000.0,
2024-10-11,1044.6170299887203,1000.0,
2024-10-12,1082.746170217559,1000.0,
2024-10-13,1096.8970075244788,1000.0,
2024-10-14,1090.333147444246,1000.0,
2024-10-15,1146.2204895126422,1000.0,
2024-10-16,1162.0510888594447,1000.0,
2024-10-17,1173.9440896683286,1000.0,
2024-10-18,1168.4006011775152,1000.0,
2024-10-19,1188.1408264832464,1000.0,
2024-10-20,1186.8089560549504,1000.0,
2024-10-21,1196.7693246406488,1000.0,
2024-10-22,1169.559012601828,1000.0,
2024-10-23,1168.7987443241584,1000.0,
2024-10-24,1157.2223525978925,1000.0,
2024-10-25,1183.77517243592,1000.0,
2024-10-26,1155.5164239150913,1000.0,
2024-10-27,1163.0219502191098,1000.0,
2024-10-28,1178.9942278774026,1000.0,
2024-10-29,1212.0836532729634,1000.0,
2024-10-30,1263.031180482982,1000.0,
2024-10-31,1255.4216750822793,1000.0,
2024-11-01,1219.3669318765053,1000.0,
2024-11-02,1206.2287834272045,1000.0,
2024-11-03,1202.605959415513,1000.0,
2024-11-04,1194.004461556284,1000.0,
2024-11-05,1176.4734744761604,1000.0,
2024-11-06,1203.2352989706771,1000.0,
2024-11-07,1312.3121227156298,1000.0,
2024-11-08,1318.669798076741,1000.0,
2024-11-09,1328.43618050969,1000.0,
2024-11-10,1329.828043351777,1000.0,
2024-11-11,1396.4058488321407,1000.0,
2024-11-12,1538.198860687333,1000.0,
2024-11-13,1531.7290007212691,1000.0,
2024-11-14,1570.3152510082377,1000.0,
2024-11-15,1516.8552571004964,1000.0,
2024-11-16,1578.295844655525,1000.0,
2024-11-17,1572.3691606038956,1000.0,
2024-11-18,1559.0937752658497,1000.0,
2024-11-19,1571.122629720302,1000.0,
2024-11-20,1600.9196412123804,1000.0,
2024-11-21,1635.0263393080118,1000.0,
2024-11-22,1709.510655640776,1000.0,
2024-11-23,1716.7710884446851,1000.0,
2024-11-24,1695.1129663917231,1000.0,
2024-11-25,1700.9520398307507,1000.0,
2024-11-26,1613.9879184826136,1000.0,
2024-11-27,1595.3695104240621,1000.0,
2024-11-28,1665.641244951168,1000.0,
2024-11-29,1660.0952273773487,1000.0,
2024-11-30,1691.1872438419248,1000.0,
2024-12-01,1674.8728200129713,1000.0,
2024-12-02,1688.7309798394551,1000.0,
2024-12-03,1663.0721083687438,1000.0,
2024-12-04,1666.5167527925196,1000.0,
2024-12-05,1715.9723698529112,1000.0,
2024-12-06,1686.8184691259776,1000.0,
2024-12-07,1734.9293840047662,1000.0,
2024-12-08,1731.5970749754663,1000.0,
2024-12-09,1756.8215930520064,1000.0,
2024-12-10,1689.4640025170675,1000.0,
2024-12-11,1677.2428695981866,1000.0,
2024-12-12,1754.8822400317442,1000.0,
2024-12-13,1735.3971887921928,1000.0,
2024-12-14,1758.8495272860985,1000.0,
2024-12-15,1759.1060331015976,1000.0,
2024-12-16,1817.3193028263247,1000.0,
2024-12-17,1840.7921946734464,1000.0,
2024-12-18,1840.1120314996372,1000.0,
2024-12-19,1741.5537691539491,1000.0,
2024-12-20,1698.0959157138125,1000.0,
2024-12-21,1695.3207004415672,1000.0,
2024-12-22,1686.84145608766,1000.0,
2024-12-23,1650.2500167573714,1000.0,
2024-12-24,1642.4518452947148,1000.0,
2024-12-25,1712.7488010823204,1000.0,
2024-12-26,1724.0156055919824,1000.0,
2024-12-27,1660.3853224860345,1000.0,
2024-12-28,1637.020727957355,1000.0,
2024-12-29,1651.8178574246933,1000.0,
2024-12-30,1625.4196958520495,1000.0,
2024-12-31,1607.4382561843738,1000.0,
2025-01-01,1622.719634499128,1000.0,
2025-01-02,1637.927098535945,1000.0,
2025-01-03,1680.7558464185086,1000.0,
2025-01-04,1702.1391679684036,1000.0,
2025-01-05,1705.1308987000352,1000.0,
2025-01-06,1707.0025215429757,1000.0,
2025-01-07,1774.0716978449034,1000.0,
2025-01-08,1682.4903975565294,1000.0,
2025-01-09,1648.904061582847,1000.0,
2025-01-10,1603.0823342949514,1000.0,
2025-01-11,1644.0434673611405,1000.0,
2025-01-12,1640.9705364173383,1000.0,
2025-01-13,1639.1521884776669,1000.0,
2025-01-14,1639.1795811244733,1000.0,
2025-01-15,1675.9302816596803,1000.0,
2025-01-16,1740.8175545427002,1000.0,
